J1, J2, J3, J4, J5, J6, ERROR, STEP_MM, STEP_DEG, MOVE_ID, TIME_S, X_TCP, Y_TCP, Z_TCP, SPEED_J1, SPEED_J2, SPEED_J3, SPEED_J4, SPEED_J5, SPEED_J6, ACCEL_J1, ACCEL_J2, ACCEL_J3, ACCEL_J4, ACCEL_J5, ACCEL_J6
-89.9999984, -87.2714585, -91.5495274, -91.1790141, 90.0000000, 0.0000016, 0.0000000, 0.6969972, 0.7766258, 25.0000000, 0.0492590, -163.8999820, -658.0119974, 659.5667438, 0.0000007, 1.2314758, -0.6761348, -0.5553410, 0.0000000, 0.0000007, -0.0000413, -69.5947349, 38.2105958, 31.3841391, 0.0000000, -0.0000413
-89.9999984, -87.2705531, -91.5500175, -91.1794294, 90.0000000, 0.0000016, 0.0000000, 0.0104281, 0.0009054, 25.0000000, 0.0085108, -163.8999820, -658.0022408, 659.5704253, 0.0000001, 0.1063856, -0.0575857, -0.0487999, 0.0000000, 0.0000001, -0.0000784, -132.1948454, 72.6777315, 59.5171140, 0.0000000, -0.0000784
-89.9999983, -87.0205531, -91.6834009, -91.2960460, 90.0000000, 0.0000017, 0.0000000, 2.8853253, 0.2500000, 26.0000000, 0.1000000, -163.8999803, -655.3070217, 660.6004235, 0.0000015, 2.5000000, -1.3338340, -1.1661660, 0.0000000, 0.0000015, 0.0000146, 23.9361440, -12.7624825, -11.1736615, 0.0000000, 0.0000146
-89.9999980, -86.5556854, -91.9314234, -91.5128912, 90.0000000, 0.0000020, 0.0000000, 5.3584960, 0.7148677, 26.0000000, 0.1000000, -163.8999772, -650.2906978, 662.4845610, 0.0000028, 4.6486768, -2.4802252, -2.1684516, 0.0000000, 0.0000028, 0.0000131, 21.4867680, -11.4639124, -10.0228556, 0.0000000, 0.0000131
-89.9999980, -86.4957381, -91.9634073, -91.5408546, 90.0000000, 0.0000020, 0.0000000, 0.6903771, 0.7748149, 26.0000000, 0.0489683, -163.8999769, -649.6433886, 662.7245849, 0.0000007, 1.2242066, -0.6531553, -0.5710512, 0.0000000, 0.0000007, -0.0000427, -69.9324424, 37.3113069, 32.6211355, 0.0000000, -0.0000427
-89.9999980, -86.4948021, -91.9638994, -91.5412985, 90.0000000, 0.0000020, 0.0000000, 0.0108059, 0.0009360, 26.0000000, 0.0086535, -163.8999768, -649.6332786, 662.7283998, 0.0000001, 0.1081691, -0.0568726, -0.0512965, 0.0000000, 0.0000001, -0.0000786, -128.9690779, 68.9063205, 60.0627574, 0.0000000, -0.0000786
-89.9999978, -86.2448021, -92.0934011, -91.6617968, 90.0000000, 0.0000022, 0.0000000, 2.8921749, 0.2500000, 27.0000000, 0.1000000, -163.8999752, -646.9316394, 663.7607864, 0.0000016, 2.5000000, -1.2950173, -1.2049827, 0.0000000, 0.0000016, 0.0000150, 23.9183090, -12.3814475, -11.5368616, 0.0000000, 0.0000150
-89.9999975, -85.7810719, -92.3336166, -91.8853115, 90.0000000, 0.0000025, 0.0000000, 5.3580965, 0.7137302, 27.0000000, 0.1000000, -163.8999721, -641.9156828, 665.6447656, 0.0000029, 4.6373019, -2.4021545, -2.2351474, 0.0000000, 0.0000029, 0.0000134, 21.3730195, -11.0713722, -10.3016473, 0.0000000, 0.0000134
-89.9999975, -85.7218592, -92.3642892, -91.9138516, 90.0000000, 0.0000025, 0.0000000, 0.6835422, 0.7729429, 27.0000000, 0.0486673, -163.8999717, -641.2747865, 665.8824246, 0.0000008, 1.2166826, -0.6302500, -0.5864326, 0.0000000, 0.0000008, -0.0000441, -70.2857754, 36.4085187, 33.8772568, 0.0000000, -0.0000441
-89.9999975, -85.7208894, -92.3647840, -91.9143266, 90.0000000, 0.0000025, 0.0000000, 0.0112234, 0.0009699, 27.0000000, 0.0088084, -163.8999717, -641.2642858, 665.8863869, 0.0000001, 0.1101055, -0.0561801, -0.0539254, 0.0000000, 0.0000001, -0.0000788, -125.6269368, 65.1727213, 60.4542155, 0.0000000, -0.0000788
-89.9999973, -85.4708894, -92.4903991, -92.0387115, 90.0000000, 0.0000027, 0.0000000, 2.8992933, 0.2500000, 28.0000000, 0.1000000, -163.8999700, -638.5559756, 666.9212577, 0.0000016, 2.5000000, -1.2561506, -1.2438494, 0.0000000, 0.0000016, 0.0000155, 23.8989452, -11.9997050, -11.8992402, 0.0000000, 0.0000155
-89.9999970, -85.0083416, -92.7228110, -92.2688474, 90.0000000, 0.0000030, 0.0000000, 5.3576256, 0.7125478, 28.0000000, 0.1000000, -163.8999670, -633.5404525, 668.8050517, 0.0000030, 4.6254777, -2.3241187, -2.3013590, 0.0000000, 0.0000030, 0.0000137, 21.2547773, -10.6796807, -10.5750966, 0.0000000, 0.0000137
-89.9999970, -84.9498862, -92.7521825, -92.2979313, 90.0000000, 0.0000030, 0.0000000, 0.6764704, 0.7710031, 28.0000000, 0.0483551, -163.8999666, -632.9061908, 669.0402627, 0.0000008, 1.2088773, -0.6074128, -0.6014645, 0.0000000, 0.0000008, -0.0000457, -70.6564769, 35.5020709, 35.1544060, 0.0000000, -0.0000457
-89.9999970, -84.9488794, -92.7526805, -92.2984401, 90.0000000, 0.0000030, 0.0000000, 0.0116804, 0.0010068, 28.0000000, 0.0089747, -163.8999666, -632.8952626, 669.0443864, 0.0000001, 0.1121838, -0.0554952, -0.0566886, 0.0000000, 0.0000001, -0.0000788, -122.1982691, 61.4970085, 60.7012606, 0.0000000, -0.0000788
